CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2017,Córdoba,Montilla,010-00010-15-03,CAMPIÑA ALTA - III,,,,,Regadio,,MONTEPILA,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Montilla,014-00207-05,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,
2017,Córdoba,Montilla,018-00017-02,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Montilla,021-00017-08,CAMPIÑA ALTA - III,,,,Arcillo-arenoso,Secano,No,Pedro Ximenez,,110 Richter,Vaso o redondo,,,
2017,Córdoba,Montilla,021-00036-02,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Montilla,023-00087-05,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Montilla,024-00098-10,CAMPIÑA ALTA - III,,,,,Regadío,,Pedro Ximenez,,,,,,
2017,Córdoba,Montilla,031-00005-01,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Montilla,038-00056-11-01,CAMPIÑA ALTA - III,,,,,,,Pedro Ximenez,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Montilla,ECB MON-1,CAMPIÑA ALTA - III,SIN DEFINIR,19.29,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Córdoba,Montilla,ECB MON-2,CAMPIÑA ALTA - III,SIN DEFINIR,17.90,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Córdoba,Montilla,ECB MON-3,CAMPIÑA ALTA - III,SIN DEFINIR,12.89,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Córdoba,Montilla,ECB SIERR,CAMPIÑA ALTA - III,SIN DEFINIR,"7,77",0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Córdoba,Monturque,010-00043-00-00,CAMPIÑA ALTA,,1,0,,Secano,No,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Moriles,001-00010-02,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Moriles,004-00004-04,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
